gene,g21,g22,g23,g24,g25,g26,g27,g31,g32,g33,g34,g35,g36,g37,g39,g41,g43,g44,g45
group_1898,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_1899,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1903,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1906,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_191,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1910,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1911,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
group_1912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1913,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1922,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1923,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1925,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_1926,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1
group_1927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1934,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1935,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group_1936,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_1937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_1938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1943,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_1944,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_1945,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
group_1946,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
group_1947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1952,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1955,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group_1956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_196,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1963,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1964,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1965,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_1966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1969,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_1970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1971,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1972,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1978,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0
group_1979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1981,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_1982,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
group_1983,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
group_1984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1990,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1991,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
group_1992,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1993,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_1996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
group_2001,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
group_2002,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
group_2003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2005,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
group_2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
group_2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_201,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2015,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2017,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
group_2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2028,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1
group_2029,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_203,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
group_2030,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_2031,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
group_2032,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
group_2033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2038,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2039,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
group_204,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_2040,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1
group_2041,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_2042,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group_2043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2051,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
group_2052,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
group_2053,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
group_2054,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2055,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2062,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
group_2063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2064,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
group_2065,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2066,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2075,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
group_2076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2077,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2078,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_208,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1
group_2080,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
group_2081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2082,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
group_2083,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2084,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
group_2085,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_2086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_2087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2089,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
group_209,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
group_2090,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
group_2091,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2092,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_210,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
group_2100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2102,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2103,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2105,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
group_2106,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2107,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
group_2108,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_211,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_2111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2115,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2117,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
group_2118,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2119,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_212,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_2120,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2121,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
group_2122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2123,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
group_2124,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
group_2125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group_2127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_213,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2130,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_2131,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1
group_2132,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
group_2133,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_2136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_2137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2146,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
group_2147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2148,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2149,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_2150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2151,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2153,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
group_2155,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2157,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
group_2158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2160,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0
group_2161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2165,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
group_2166,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group_217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2172,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2173,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_2174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group_2175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_2176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_218,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
group_2180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2184,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1
group_2185,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
group_2186,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1
group_2187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
group_2188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
