gene,sequence_length
group_3156,315
group_3157,315
group_3160,315
group_3161,315
group_3162,315
group_3177,312
group_3179,312
group_318,1404
group_3181,312
group_3182,312
group_3183,312
group_3185,312
group_3194,309
group_3195,309
group_3197,309
group_320,1401
group_3206,306
group_3208,306
group_321,1401
group_3212,306
group_3213,306
group_3214,306
group_3215,306
group_322,1401
group_3224,303
group_3225,303
group_3246,300
group_3249,300
group_3257,297
group_3258,297
group_3259,297
group_326,1398
group_3260,297
group_3261,297
group_3264,297
group_3265,297
group_3266,297
group_3268,297
group_3285,294
group_3288,294
group_3289,294
group_329,1395
group_3290,294
group_3303,291
group_3310,291
group_3312,291
group_3323,288
group_3325,288
group_3327,288
group_333,1392
group_3337,285
group_3338,285
group_334,1386
group_3340,285
group_3342,285
group_3345,285
group_3359,282
group_336,1383
group_3360,282
group_3361,282
group_3363,282
group_3369,282
group_337,1380
group_3370,282
group_3371,282
group_3372,282
group_3383,279
group_3389,279
group_3390,279
group_3408,276
group_341,1377
group_3410,276
group_3411,276
group_3413,276
group_3415,276
group_3416,276
group_343,1374
group_3433,273
group_3434,273
group_3438,273
group_3439,273
group_3440,273
group_3441,273
group_3443,273
group_3448,270
group_3449,270
group_345,1371
group_3450,270
group_3452,270
group_346,1371
group_3466,267
group_3467,267
group_3468,267
group_3469,267
group_347,1368
group_3470,267
group_3476,267
group_3480,267
group_3481,267
group_3482,267
group_3483,267
group_3484,267
group_3499,264
group_3500,264
group_3501,264
group_3502,264
group_3503,264
group_3504,264
group_3512,261
group_3514,261
group_3519,261
group_3520,261
group_3522,261
group_353,1359
group_3532,258
group_3533,258
group_3534,258
group_3535,258
group_3537,258
group_354,1359
group_355,1359
group_3550,258
group_3556,255
group_3557,255
group_3558,255
group_3559,255
group_356,1356
group_3562,255
group_3563,255
group_3565,255
group_357,1356
group_3577,252
group_3578,252
group_3579,252
group_3580,252
group_3582,252
group_3583,252
group_3585,252
group_3586,252
group_3588,252
group_3589,252
group_3590,252
group_3591,252
group_3605,249
group_3609,249
group_361,1350
group_3610,249
group_3611,249
group_3612,249
group_362,1350
group_3628,246
group_3629,246
group_363,1350
group_3635,246
group_3647,243
group_3648,243
group_365,1344
group_3653,243
group_3654,243
group_3659,243
group_366,1344
group_3661,243
group_367,1338
group_3683,240
group_3684,240
group_3686,240
group_3687,240
group_3691,240
group_3692,240
group_3702,237
group_3703,237
group_3708,237
group_3709,237
group_3734,234
group_3735,234
group_3737,234
group_3739,234
group_375,1332
group_3755,231
group_3765,228
group_377,1326
group_3787,225
group_3788,225
group_3793,225
group_3797,225
group_3798,225
group_3799,225
group_38,2401
group_3809,222
group_3810,222
group_3811,222
group_3812,222
group_3815,222
group_3817,222
group_382,1323
group_383,1323
group_3832,219
group_3833,219
group_3835,219
group_3837,219
group_3840,219
group_3841,219
group_3842,219
group_385,1323
group_3851,216
group_3852,216
group_3854,216
group_3855,216
group_3858,216
group_3859,216
group_386,1320
group_3861,216
group_3868,213
group_3869,213
group_3870,213
group_3872,213
group_388,1314
group_3881,210
group_3882,210
group_3883,210
group_3885,210
group_389,1314
group_39,2397
group_390,1314
group_3902,207
group_3903,207
group_3906,207
group_3907,207
group_3910,207
group_3911,207
group_392,1311
group_3925,204
group_3926,204
group_3928,204
group_393,1311
group_3931,204
group_3932,204
group_3933,204
group_3934,204
group_3935,204
group_3950,201
group_3951,201
group_3952,201
group_396,1308
group_3960,201
group_3961,201
group_3962,201
group_3978,198
group_398,1305
group_3982,198
group_3983,198
group_3985,198
group_399,1305
group_400,1305
group_4007,195
group_4008,195
group_401,1302
group_4012,195
group_4014,195
group_402,1302
group_4029,192
group_4033,192
group_404,1296
group_4048,189
group_4049,189
group_4050,189
group_4053,189
group_4054,189
group_4055,189
group_4056,189
group_4057,189
group_4058,189
group_4065,186
group_4066,186
group_4068,186
group_4074,186
group_4076,186
group_4077,186
group_408,1293
group_409,1293
group_4094,183
group_41,2394
group_4108,180
group_4109,180
group_4111,180
group_412,1290
group_4136,177
group_4137,177
group_4139,177
group_4143,177
group_416,1287
group_4161,174
group_4163,174
group_4164,174
group_4165,174
group_417,1287
group_4170,174
group_4171,174
group_4173,174
group_4188,171
group_4189,171
group_419,1284
group_42,2391
group_4207,168
group_421,1281
group_4210,168
group_4211,168
group_422,1281
group_4225,165
group_4226,165
group_4229,165
group_423,1278
group_4230,165
group_424,1275
group_4244,162
group_4245,162
group_4246,162
group_4247,162
group_4248,162
group_4249,162
group_4260,159
group_4261,159
group_4262,159
group_4263,159
group_4267,156
group_4268,156
group_4269,156
group_427,1275
group_4271,156
group_4272,156
group_4273,156
group_4274,156
group_428,1275
group_4287,153
group_4289,153
group_429,1275
group_4298,150
group_4299,150
group_430,1272
group_4301,150
group_4303,150
group_4304,150
group_4318,147
group_4319,147
group_432,1269
group_4320,147
group_4321,147
group_4323,147
group_4327,144
group_433,1269
group_4331,144
group_4333,144
group_4334,144
group_4335,144
group_4342,141
group_4343,141
group_4344,141
group_4345,141
group_4346,141
group_4347,141
group_4348,141
group_435,1269
group_4356,138
group_436,1269
group_4366,135
group_4369,132
group_437,1269
group_4382,129
group_4383,129
group_439,1266
group_4394,126
group_4405,123
group_4406,123
group_4407,123
group_4409,123
group_4411,123
group_4418,120
group_4419,120
group_4422,120
group_4428,117
group_443,1263
group_4433,114
group_4434,114
group_4435,114
group_4440,114
group_445,1263
group_4451,108
group_4452,108
group_4453,108
group_4459,105
group_4462,105
group_4466,102
group_4467,102
group_4468,102
group_447,1263
group_4477,99
group_4481,96
group_4482,96
group_4489,93
group_449,1257
group_4491,93
group_4492,93
group_450,1257
group_455,1251
group_456,1251
group_458,1248
group_459,1248
group_4616,933
group_4617,933
group_462,1245
group_4621,1902
group_4622,900
group_463,1245
group_4634,300
group_465,1245
group_4663,279
group_4682,153
group_4683,153
group_4684,732
group_4685,732
group_4686,681
group_4687,261
group_4688,276
group_4689,1062
group_4690,1239
group_4691,291
group_4692,291
group_4693,168
group_4701,246
group_471,1242
group_4719,282
group_472,1242
group_4720,204
group_4733,210
group_4736,114
group_4740,252
group_4741,297
group_4743,1647
group_475,1239
group_476,1239
group_4762,930
group_4765,267
group_4770,1611
group_4773,393
group_4779,1827
group_478,1239
group_4780,345
group_4782,1518
group_4783,642
group_4784,129
group_4785,387
group_479,1239
group_48,2352
group_480,1236
group_4832,1725
group_485,1233
group_486,1233
group_488,1230
group_489,1230
group_4897,2658
group_4898,1215
group_49,2310
group_490,1230
group_4916,1176
group_493,1230
group_496,1224
group_497,1221
group_498,1221
group_502,1218
group_5024,309
group_5025,567
group_5026,412
group_5027,373
group_5028,741
group_5029,1713
group_5030,702
group_5031,363
group_5032,468
group_5033,2637
group_5034,534
group_5036,622
group_5037,465
group_5038,679
group_5039,661
group_5040,396
group_5042,1179
group_5043,522
group_5044,1381
group_5045,463
group_5046,387
group_5047,726
group_5048,985
group_5051,757
group_5052,685
group_5053,687
group_5054,1107
group_5055,903
group_5056,264
group_5058,468
group_5059,765
group_506,1218
group_5060,174
group_5061,709
group_5063,1257
group_5064,372
group_5068,640
group_5069,753
group_507,1218
group_5070,1335
group_5071,219
group_5072,802
group_5073,1465
group_5074,444
group_5078,1318
group_5079,141
group_5080,216
group_5082,915
group_5083,922
group_5084,492
group_5085,390
group_5087,375
group_5088,1158
group_5089,649
group_509,1215
group_5090,400
group_5091,682
group_5093,963
group_5096,606
group_5098,534
group_510,1215
group_5100,1386
group_5101,351
group_5102,1131
group_5103,294
group_5104,939
group_5106,942
group_5107,822
group_5108,784
group_511,1215
group_5111,1134
group_5112,1281
group_5113,775
group_5114,988
group_5115,2100
group_5118,376
group_5119,1359
group_5120,909
group_5121,577
group_5122,993
group_5123,1119
group_5124,1146
group_5125,487
group_5126,456
group_5129,505
group_5130,228
group_5132,1455
group_5133,1038
group_5134,415
group_5137,333
group_5138,1818
group_5139,1251
group_514,1215
group_5140,570
group_5142,891
group_5143,243
group_5145,975
group_5146,1219
group_5147,564
group_5148,859
group_5150,225
group_5151,645
group_5152,711
group_5153,312
group_5155,934
group_5156,847
group_5157,391
group_5158,1017
group_5159,1254
group_5161,892
group_5162,1179
group_5164,612
group_5166,405
group_5167,1486
group_5169,1262
group_5172,177
group_5173,1072
group_5174,520
group_5175,780
group_5176,945
group_5177,928
group_5178,1657
group_5179,468
group_518,1212
group_5180,592
group_5182,694
group_5184,804
group_5185,1791
group_5186,870
group_5187,354
group_5188,1476
group_5189,846
group_5190,270
group_5191,847
group_5192,508
group_5193,2172
group_5194,901
group_5198,496
group_52,2301
group_5201,632
group_5202,745
group_5204,1362
group_5205,105
group_5206,747
group_5208,306
group_5209,382
group_521,1209
group_5210,766
group_5211,955
group_5214,757
group_5216,1006
group_5217,705
group_522,1209
group_5223,1420
group_5224,697
group_5225,1839
group_5226,651
group_5227,1027
group_523,1209
group_5232,561
group_5233,471
group_5237,273
group_5238,300
group_5239,880
group_524,1206
group_5241,288
group_5242,1167
group_5244,810
group_5245,886
group_5246,684
group_5247,639
group_5248,1089
group_5250,394
group_5251,1005
group_5252,645
group_5253,672
group_5254,1114
group_5255,819
group_5256,669
group_5258,720
group_5262,753
group_5263,1029
group_5264,879
group_5266,1042
group_5267,1245
group_5269,945
group_5270,414
group_5271,633
group_5273,1131
group_5274,894
group_5276,972
group_5277,1411
group_5279,738
group_5280,1260
group_5281,790
group_5282,445
group_5283,733
group_5285,765
group_5286,1041
group_5287,426
group_5288,768
group_5289,653
group_529,1200
group_5295,1257
group_5297,387
group_5299,1194
group_530,1200
group_5301,993
group_5302,663
group_5303,1077
group_5305,570
group_5307,1159
group_5308,984
group_5309,309
group_531,1200
group_5310,811
group_5312,280
group_5315,1047
group_5317,519
group_5318,984
group_5319,679
group_5321,972
group_5324,427
group_5325,492
group_5326,445
group_5328,447
group_5329,411
group_5330,975
group_5331,462
group_5333,498
group_5334,204
group_5336,846
group_5337,601
group_5339,754
group_534,1197
group_5340,696
group_5341,882
group_5345,1327
group_5346,318
group_5352,1008
group_5353,448
group_5354,1038
group_5356,1021
group_5358,1035
group_5361,870
group_5363,1294
group_5364,994
group_5365,3768
group_5367,474
group_5369,516
group_537,1197
group_5370,2659
group_5372,657
group_5374,261
group_5378,1157
group_5379,1033
group_5380,931
group_5381,466
group_5382,697
group_5383,843
group_5385,711
group_5387,894
group_5394,1767
group_5395,636
group_5399,802
group_5404,757
group_5405,1212
group_5407,456
group_5408,940
group_5409,738
group_5410,945
group_5411,345
group_5419,1594
group_542,1194
group_5421,277
group_5422,286
group_5423,822
group_5424,372
group_5428,306
group_5429,1186
group_543,1194
group_5431,444
group_5433,1711
group_5434,463
group_5435,1240
group_5438,187
group_5439,1230
group_5442,1361
group_5444,856
group_5447,1107
group_5451,354
group_5453,1032
group_5458,1308
group_5462,330
group_5464,954
group_5467,309
group_5471,631
group_5472,915
group_5475,393
group_5477,612
group_5478,916
group_5481,408
group_5482,567
group_5483,747
group_5484,714
group_5486,1255
group_5493,504
group_5495,525
group_5497,1302
group_5498,225
group_5499,333
group_5502,555
group_5503,126
group_5504,1131
group_5506,918
group_5508,582
group_5509,783
group_5510,1494
group_5512,352
group_5513,438
group_5515,1087
group_5516,457
group_5517,786
group_5519,412
group_5520,771
group_5521,267
group_5526,348
group_5529,423
group_5530,352
group_5533,610
group_5535,580
group_5537,996
group_5539,490
group_5546,621
group_5547,546
group_5548,1122
group_555,1188
group_5553,969
group_5554,304
group_5555,786
group_556,1188
group_5561,1345
group_5562,231
group_5566,1164
group_557,1188
group_5571,888
group_5572,291
group_5574,1842
group_5576,732
group_5577,243
group_5579,618
group_558,1188
group_5580,1695
group_5584,1236
group_5588,393
group_559,1185
group_5591,528
group_5593,489
group_5594,184
group_5595,1371
group_5596,186
group_5598,750
group_56,2250
group_560,1185
group_5600,1519
group_5603,333
group_5604,1185
group_5606,816
group_5608,675
group_561,1182
group_5615,573
group_5617,688
group_5621,453
group_5623,493
group_5624,1014
group_5628,459
group_5629,844
group_5637,503
group_5639,1279
group_5643,559
group_5644,957
group_5647,1518
group_5648,481
group_565,1179
group_5652,967
group_5656,243
group_5658,370
group_566,1179
group_567,1179
group_5671,289
group_5673,318
group_568,1179
group_5683,255
group_5688,499
group_5692,363
group_5696,2058
group_5698,243
group_5703,1099
group_5705,234
group_5709,246
group_571,1176
group_5710,859
group_5711,183
group_5715,1479
group_5724,348
group_573,1176
group_5740,507
group_5741,671
group_5742,348
group_5744,228
group_5748,295
group_5749,402
group_5753,321
group_5755,810
group_5756,932
group_5757,843
group_5759,708
group_5760,711
group_5762,1623
group_5765,1837
group_5767,360
group_5768,405
group_5769,487
group_577,1173
group_5777,258
group_5778,618
group_5780,516
group_5781,345
group_5783,1839
group_5784,597
group_5788,952
group_579,1173
group_5791,861
group_5792,1398
group_5794,177
group_5802,219
group_5806,717
group_5812,240
group_5813,483
group_5819,660
group_582,1173
group_5826,225
group_583,1170
group_5831,522
group_5836,249
group_584,1170
group_585,1170
group_5857,1146
group_5874,313
group_5878,639
group_588,1167
group_5885,1749
group_5887,1614
group_5891,443
group_5895,912
group_5896,1419
group_5905,760
group_5910,1212
group_5911,1203
group_5918,1074
group_592,1164
group_5920,1062
group_5921,1779
group_5924,1002
group_5927,979
group_5933,960
group_594,1164
group_5940,1578
group_5944,2206
group_5948,688
group_5950,675
group_5951,642
group_5958,447
group_5959,633
group_5960,499
group_5962,825
group_5965,261
group_5967,420
group_597,1161
group_598,1161
group_600,1158
group_6006,384
group_6017,348
group_6020,585
group_6027,972
group_6030,931
group_6035,1226
group_6037,531
group_604,1152
group_6045,1020
group_6049,549
group_605,1152
group_6050,348
group_6052,597
group_606,1149
group_6068,801
group_607,1149
group_6070,679
group_6072,184
group_6073,529
group_6076,327
group_6077,1342
group_6078,729
group_6080,165
group_6085,255
group_6086,258
group_6087,471
group_6089,303
group_609,1146
group_6090,186
group_6091,465
group_6096,1008
group_6097,790
group_6099,474
group_610,1146
group_6101,537
group_6102,489
group_6104,504
group_6105,494
group_6107,189
group_6108,1495
group_6109,915
group_6111,678
group_6114,1134
group_6115,414
group_6116,1104
group_6118,372
group_6119,378
group_6124,225
group_6125,488
group_6126,576
group_6127,1569
group_6128,522
group_6129,1251
group_6130,1290
group_6131,1026
group_6132,697
group_6133,351
group_6134,817
group_6139,192
group_614,1143
group_6144,546
group_6145,474
group_6147,1392
group_615,1143
group_6151,1113
group_6154,354
group_6155,189
group_6156,837
group_6157,642
group_6159,387
group_6161,402
group_6165,327
group_6167,816
group_6168,480
group_6171,315
group_6172,525
group_6173,1210
group_618,1140
group_6184,729
group_6185,495
group_6188,1044
group_619,1140
group_6190,729
group_6191,696
group_6195,1599
group_6198,591
group_6199,1545
group_6200,480
group_6206,573
group_6211,1230
group_6214,324
group_6215,1129
group_6217,969
group_622,1134
group_6222,213
group_6223,603
group_6224,369
group_623,1134
group_6231,381
group_6233,931
group_6236,372
group_624,1134
group_6247,711
group_6249,270
group_6252,594
group_6254,375
group_6255,570
group_6257,579
group_6264,189
group_6266,198
group_6271,147
group_6272,729
group_6274,225
group_6282,1239
group_6283,510
group_6291,1893
group_6295,465
group_6308,906
group_6322,405
group_633,1128
group_6333,1155
group_6338,579
group_634,1128
group_6350,207
group_6351,579
group_6352,531
group_6353,1074
group_6354,273
group_6356,1293
group_6357,1290
group_6358,1212
group_636,1125
group_6361,1098
group_6362,213
group_6366,630
group_6369,765
group_637,1125
group_6370,741
group_6371,261
group_6372,648
group_6373,1215
group_6374,606
group_6378,311
group_6379,601
group_6380,956
group_6382,622
group_6383,1131
group_6386,442
group_6388,390
group_6389,372
group_6395,315
group_640,1119
group_6401,189
group_6410,384
group_6411,2416
group_6412,504
group_6415,576
group_6418,981
group_642,1116
group_6423,207
group_643,1116
group_6433,738
group_6436,240
group_6450,1336
group_6452,900
group_6455,1194
group_6456,114
group_6459,393
group_6461,192
group_6467,717
group_6468,240
group_6469,675
group_647,1116
group_6482,444
group_6488,657
group_6489,980
group_6492,544
group_6496,1659
group_6498,720
group_650,1113
group_6512,921
group_652,1110
group_6520,1380
group_6521,281
group_6529,1308
group_6530,901
group_6531,1758
group_6532,501
group_6533,423
group_6535,270
group_656,1107
group_657,1107
group_6574,870
group_6577,186
group_6579,294
group_658,1107
group_6592,615
group_6595,477
group_66,2169
group_660,1104
group_661,1104
group_6612,456
group_6616,1143
group_662,1104
group_6621,643
group_664,1104
group_6648,174
group_6649,282
group_6651,594
group_6660,359
group_668,1101
group_6690,1128
group_6695,1279
group_6708,267
group_673,1095
group_6738,540
group_6739,366
group_674,1095
group_6749,300
group_6759,219
group_677,1092
group_681,1089
group_682,1089
group_684,1086
group_685,1086
group_686,1086
group_688,1083
group_689,1083
group_69,2130
group_690,1083
group_691,1083
group_692,1083
group_695,1080
group_696,1080
group_699,1080
group_700,1080
group_705,1074
group_706,1074
group_709,1071
group_710,1071
group_712,1071
group_713,1068
group_718,1065
group_72,2118
group_724,1062
group_725,1062
group_726,1062
group_729,1059
group_730,1059
group_734,1056
group_735,1056
group_736,1056
group_740,1053
group_741,1053
group_742,1050
group_745,1047
group_746,1047
group_748,1044
group_749,1044
group_75,2109
group_750,1044
group_751,1044
group_754,1041
group_755,1041
group_758,1038
group_759,1038
group_760,1038
group_761,1038
group_765,1035
group_767,1032
group_768,1032
group_777,1029
group_778,1029
group_779,1029
group_780,1029
group_781,1029
group_782,1029
group_785,1026
group_791,1023
group_792,1023
group_793,1023
group_794,1023
group_804,1017
group_805,1017
group_806,1017
group_807,1017
group_812,1014
group_813,1014
group_814,1014
group_815,1014
group_816,1014
group_820,1011
group_821,1011
group_822,1011
group_823,1011
group_824,1011
group_827,1008
group_83,2052
group_832,1005
group_833,1005
group_834,1005
group_835,1005
group_836,1005
group_837,1005
group_839,1002
group_84,2052
group_840,1002
group_841,1002
group_842,1002
group_843,1002
group_844,999
group_845,999
group_849,999
group_850,999
group_851,999
group_852,996
group_853,996
group_854,996
group_855,996
group_859,993
group_86,2049
group_860,993
group_861,993
group_865,993
group_866,993
group_867,993
group_868,993
group_869,993
group_875,990
group_876,990
group_877,990
group_879,990
group_880,990
group_881,990
group_884,987
group_885,987
group_886,987
group_887,987
group_888,987
group_89,2034
group_891,984
group_892,984
group_893,984
group_894,984
group_895,984
group_896,984
group_898,981
group_899,981
group_9,3180
group_90,2034
group_903,978
group_904,978
group_905,978
group_909,975
group_914,972
group_915,972
group_916,972
group_918,972
group_920,969
group_921,969
group_923,969
group_924,969
group_925,969
group_927,966
group_929,966
group_93,2016
group_930,966
group_938,963
group_94,2004
group_940,960
group_941,960
group_945,957
group_947,954
group_948,954
group_95,2001
group_950,954
group_953,951
group_954,951
group_956,951
group_957,951
group_958,951
group_96,1998
group_962,948
group_964,945
group_965,945
group_966,945
group_968,945
group_969,945
group_970,945
group_971,945
group_972,942
group_973,942
group_974,942
group_976,942
group_977,942
group_98,1989
group_985,936
group_986,936
group_989,936
group_99,1980
group_990,936
group_994,933
group_996,930
group_997,930
group_998,930
grpE,627
grxC,258
grxD,336
gshB_1,1047
gshB_1~~~gshB_2,948
gsiA_13,828
gsiA_1~~~gsiA_6,1959
gsiA_3,1644
gsiA_4,1674
gsiA_6,966
gsiA_7,1674
gsiC_10,927
gsiC_1~~~dppB_11,1032
gsiC_3,948
gsiC_4,921
gsiC_5,936
gsiC_8,921
gsiC_9,1110
gsiD_2,918
gsiD_2~~~oppC,828
gsiD_3,822
gsiD_6,843
gsiD_8,819
gspK,885
gstB_2,606
gstB_2~~~gstB_3,621
gtaB_1,906
gtaB_2,888
guaA,1563
guaB,1503
guaD_1,1344
guaD_2,1308
gudX,1248
gutB_1,1074
gutB_1~~~gutB_3,1014
gutB_2,993
gyrA,2796
gyrB_1,2061
gyrB_2,2436
hbpA_1,1509
hbpA_2,1554
hbpA_3,1563
hcaB_2,840
hcaB_5,804
hcaB_6,2049
hcaB_6~~~hcaB_2~~~hcaB_1~~~hcaB_4,1026
hcaC,339
hcaR_1,891
hcaT,1224
hcnB_1,1362
hcr,1101
hcrA,2358
hdfR_1,894
hdfR_2,924
hdfR_3~~~hdfR_2,843
hdfR_5,846
hdfR_6,951
hdfR_7,948
hdfR_7~~~hdfR_8,981
hdfR_9,891
hdfR_9~~~pgrR_3,933
hdlIVa,663
hemA,1215
hemB,1014
hemC,930
hemE,1032
hemF,1008
hemH,1038
hemN,1354
hemW,1182
hexR_1~~~hexR_2,900
hexR_2,891
hflC,933
hflK,1089
hflX,1398
hfq,243
hilA,1518
hilA_1~~~hilA_2,1728
hipA_1,1242
hipO_1,1170
hipO_2,1167
hipO_3,1164
hisA,747
hisB,609
hisC_1,1113
hisC_4,1056
hisC_4~~~hisC_2,1008
hisC_5,1107
hisC_5~~~hisC_3,1123
hisD_1,1329
hisD_2,1305
hisE,324
hisF,778
hisG,825
hisH,651
hisI,456
hisJ_2~~~artJ_1,777
hisN,777
hisQ_2,804
hisQ_3,726
hldD_1,927
hldD_2,2544
hldD_3,894
hmgA,1362
hmrR,444
hmuT,948
hmuU_1,1068
hmuV,790
hndA,480
hom,1323
hpaC,501
hpcH,801
hpd,1113
hpf,573
hpr,1008
hprK,486
hpsN_2,1299
hpsN_2~~~hpsN_1,1308
hpt,546
hpyO,1467
hrcA,1080
hrpB,2466
hslO,993
hslR,414
hslU,1309
hslV,558
hspQ,330
hsrA_2,1413
hss,1452
htpX,960
hupB,273
hutI,1248
hutU,1680
hxpA,675
hyi_1,816
hypBA1_1,1923
hyuA_1,726
hyuC,1251
ibpA_1,480
ibpA_2,432
ibpA_3,462
icl,1290
iclR,849
idhA,993
idnD,1044
ihfA,339
ihfB,405
ilvA,1248
ilvC,1020
ilvD,1839
ilvE_1~~~ilvE_2,952
ilvE_2,1098
ilvG,1648
ilvH,574
ilvI,1779
infA,219
infC,399
iolB,801
iolC,1968
iolD,1869
iolE_1,939
iolE_2,903
iolG_1,1020
iolG_10,1065
iolG_12,1101
iolG_13,1185
iolG_3,1083
iolG_3~~~iolG_2,1014
iolG_4,2004
iolG_5,1134
iolG_6,1110
iolG_7,996
iolG_8,1131
iolG_9,987
iorA_1,459
iorA_1~~~iorA_2,471
iorB,2211
ipdC_1,1656
ipdC_2,1059
ipsA,996
ipuC,1365
iscA,393
iscR,597
isdG,315
ispB,1018
ispDF,1216
ispG,1254
ispH,1011
kaiC_1,1440
kamA,1053
katA,1485
katE,2118
kbaZ,1281
kbl,1188
kbp,474
kce_2,903
kce_2~~~kce_1,858
kdgK,933
kdgR_1,783
kdgR_2,759
kdpA,1710
kdpB_1~~~kdpB_4,2325
kdpC,570
kdsB,753
kdsD_1,990
kduD_1,765
kduD_2,768
kduD_2~~~kduD_4,792
kduI,846
kefC,1833
kipR,852
kpsM_1~~~kpsM_2,771
kpsT,660
ku_1,900
ku_2~~~ku_4,816
ku_5,885
kup_3,390
kup_4~~~kup_5,1893
kup_5~~~kup_3,1903
lacE,1275
lacF_1,918
lacF_2,900
lacF_3,933
lacF_4,1017
lacF_5,948
lacF_6,948
lacF_7,888
lacG_1,819
lapB,1891
lasI_1,621
lasI_2,645
lcdH,1492
lcfB_3,1651
ldc,1140
lemA,549
lepB,744
lerK,1719
leuA,1731
leuB,1113
leuC1~~~leuC,1410
leuD,606
leuE,633
leuS,2703
lexA_2,648
lfrA,1545
lgoD,1017
lgoR,879
lgt,843
lhgD,1212
licH,1386
ligA,2154
ligC,1068
ligD_1,2454
lig~~~lig_2,1839
linC,756
linX,894
lipA,972
lipB,789
liuE,870
livF_2,696
livF_3,708
livF_3~~~livF_1,726
livF_4,702
livH_1,864
livH_2,891
livH_4,888
livH_5,954
livK,1173
livQ,1509
lldD_1,1137
lldD_2,1146
lnrL_1,729
lnrL_2,1068
lnt,1596
lolA,663
lolD_2,687
lolE_2,1314
lon,2421
lon2,681
lpd,1446
lpd3,1407
lpdV,1395
lptA,561
lptB_1,753
lptB_3,813
lpxA,813
lpxB,1200
lpxD,1065
lpxH,834
lpxI,889
lpxK,1041
lpxL~~~lpxM2,925
lrpC_2,495
lrp_1,495
lrp_4,462
lrp_5,471
lrp_6,465
lrp_7,519
lrp_8,465
lspA,498
lsrB_1,1002
lsrB_2,993
lsrC,1020
lsrD,999
lsrF,843
lsrR,1005
ltaE,1047
ltnD,921
ltxD~~~hlyD,1716
lutA,1293
lutR_1,750
lutR_11,723
lutR_12,690
lutR_13,717
lutR_14~~~lutR_1,717
lutR_2~~~lutR_7,732
lutR_7,693
lutR_7~~~lutR_10~~~lutR_5,735
lutR_8,753
luxA,1044
luxR,741
lvr,774
lysDH,1143
lysN_1,1227
lysS,1497
lyx,1530
maa,552
macA_2,1104
maiA,786
mak,897
malK_10,1110
malK_12,1002
malK_2,1155
malK_2~~~malK_3,1134
malK_3~~~malK_11,1081
malK_7,1068
malK_7~~~malK_1,1176
malK_8,1062
malT_2,960
manX,402
map_1,750
map_2,840
mauC,318
mazG,837
mcbR_2,693
mcl2,906
mcm,1701
mdeA,1285
mdh_1,1146
mdh_2,963
mdtA_3,1188
mdtB_1~~~oqxB5,3276
mdtC_2,3135
mdtC_3~~~mdtC_1,3199
mdtE,1122
mdtJ,345
mdtK,1404
mdtL,1278
mdtN,1104
melA~~~melA_1,1374
melD_1,1020
melD_2,903
melD_3,927
melD_4,909
melD_5,879
melD_6,939
melD_7,936
melE,1302
melR_1,1080
melR_2,885
menE_2,2649
menF_2,2190
menH_1,786
mepA,1068
metAA,972
metF,942
metG,1551
metH_1,699
metI,666
metK,1281
metN,1080
metQ,777
metZ_2,1185
mglA_1,1587
mglA_2,1542
mglA_3~~~mglA_8~~~rbsA_3,1627
mglA_4,1542
mglA_6~~~mglA_5,1536
mglA_8,1536
mgsA,381
mhpC,735
mhqA,956
mhqD,624
mhqO_1,933
miaA,918
miaB,1419
minC,751
minD,816
minE,264
mlaF,807
mlc,1116
mltC,540
mltG,1236
mmgB,873
mmgC_1~~~mmgC_2,1164
mmpA,1125
mngR,729
mnhC1,348
mnhE1,486
mnmA,1260
mnmC_1,1131
mnmC_2,657
mnmE,1323
mnmG,1872
mntB_1,858
mntB_2,858
moaA,1149
moaB,543
moaC,498
moaD,261
moaE,477
mobA,660
mobB,525
modA,792
modB,702
moeA,1227
moeZ,765
motA,879
moxF,1807
mprB,1398
mprF,2610
mqnB,639
mraY,1101
mraZ,534
mrcA_2,2454
mrpB,420
mrpD_1,1563
mrpE,477
mrpG_1,351
mrpG_2,372
msbA_2,1851
msbA_3,1794
mshA_11,1092
mshA_13,2298
mshA_14,1056
mshA_15,1023
mshA_16,1032
mshA_2,1248
mshA_5,1098
mshA_5~~~mshA_10,1152
mshA_9,1230
mshA_9~~~mshA_4,1248
mshD,813
msiK_1,1137
msiK_2,1050
msiK_3,684
msmE,1260
msmX_1,1089
msmX_5~~~msmX_4,1065
msmX_6,1110
msmX_8,1086
msrA,654
msrA2,597
msrB_1,444
msrP_1,663
msuE,558
mtaB,1275
mtgA_1,2211
mtgA_1~~~pbpC,2130
mtgA_2,2253
mtgA_3,789
mtgB_1,1536
mtgB_2,1572
mtgB_3,1545
mtgB_4,1545
murA,1293
murB,975
murC,1416
murE,1461
murF,1434
murG_1,1155
murG_2~~~murG_1,1125
murI,816
murJ,1609
murQ,897
mutM,921
mutS,2748
mutY,1179
nadA,1080
nadD,567
nadE_1,1008
nadE_2,1683
nagC_1,1209
nagC_1~~~nagC_4,1305
nagC_3,1230
nagK,912
nagK_1~~~ycgM,714
nagL_1,612
nagL_2,642
nagR_2,765
nagR_3,744
nagZ,1035
naiP,1314
nanA,909
nanK_2~~~nanK_1,1294
nanR_1,783
nanR_1~~~lutR_4,810
nanR_1~~~lutR_6,663
nanR_2,702
nanR_3,771
nanR_4,714
nanR_5,861
nanR_6~~~yurK_1,865
nanT,1890
napC,702
napD,288
